Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DTCS Code,Transmit Power,Skip,Comment
151,14.325000,14.325000,,Simplex,USB,HWN-SAT,OFF,,,,,,Hurricane Watch Net primary / SATERN Intl Net (Mon-Wed-Fri 1600Z); WX4NHC (National Hurricane Center) active here during storm activations
152,7.268000,7.268000,,Simplex,LSB,HWN-ALT,OFF,,,,,,Hurricane Watch Net alternate frequency - better for shorter-skip propagation during storms
153,14.265000,14.265000,,Simplex,USB,SATERN,OFF,,,,,,SATERN (Salvation Army Team Emergency Radio Network) Net - Mon-Fri 1500Z
154,7.265000,7.265000,,Simplex,LSB,SATERN-SAT,OFF,,,,,,SATERN Net - Saturday sessions
155,14.300000,14.300000,,Simplex,USB,MMSN,OFF,,,,,,Maritime Mobile Service Network - daily, maritime/emergency relay traffic
156,7.281000,7.281000,,Simplex,LSB,NY-RACES,OFF,,,,,,NYS RACES phone net - Sundays 0900 local (covers Suffolk County NY area)
157,7.081500,7.081500,,Simplex,USB,NY-RACES-D,OFF,,,,,,NYS RACES digital net - follows the phone net, check waterfall for activity
204,14.347000,14.347000,,Simplex,USB,QCWA-20,OFF,,,,,,Quarter Century Wireless Association 20m SSB Net - Sun 2000Z (netfinder.radio)
205,14.340000,14.340000,,Simplex,USB,CA-HI-20,OFF,,,,,,California Hawaii Net - Mon-Fri 1700Z (netfinder.radio)
206,14.316000,14.316000,,Simplex,USB,AFS-ARN,OFF,,,,,,American Foreign Service Amateur Radio Net - Sun 1500Z, alt freq 14.319 (netfinder.radio)
207,14.332000,14.332000,,Simplex,USB,YLISSB-20,OFF,,,,,,YLISSB System 20m - multiple daily slots M-F (netfinder.radio)
208,14.290000,14.290000,,Simplex,USB,OMISS-20,OFF,,,,,,OMISS 20m Net - daily 1230Z (netfinder.radio)
209,7.185000,7.185000,,Simplex,LSB,OMIK-40,OFF,,,,,,OMIK 40 Meter Phone Net - Sun 1130Z (netfinder.radio)
210,7.282000,7.282000,,Simplex,LSB,NEBR-40,OFF,,,,,,Nebraska 40m SSB Net - daily 1800Z (netfinder.radio)
211,7.210000,7.210000,,Simplex,LSB,KOC-40,OFF,,,,,,Knights of Columbus 40m Net - Mon 8PM ET (netfinder.radio)
212,7.100000,7.100000,,Simplex,LSB,AURORA-40,OFF,,,,,,Canadian Amateur Radio Aurora Net - daily 2300Z (netfinder.radio)
213,7.244000,7.244000,,Simplex,LSB,YLISSB-40E,OFF,,,,,,YLISSB System 40m East - M-F 2300Z (netfinder.radio)
214,7.185000,7.185000,,Simplex,LSB,OMISS-40,OFF,,,,,,OMISS 40m Net - daily 0100Z, same freq as OMIK 40m different time (netfinder.radio)
215,7.248000,7.248000,,Simplex,LSB,BUCKAROO-40,OFF,,,,,,Buckaroo's Net - M-F 8AM ET (netfinder.radio)
216,3.920000,3.920000,,Simplex,LSB,OMIK-75,OFF,,,,,,OMIK 75 Meter Phone Net - Sun 1100Z (netfinder.radio)
217,3.750000,3.750000,,Simplex,LSB,TCPWC-80,OFF,,,,,,Trans Canada Pow Wow Club Net - Sun-Thu Oct-Apr 0500Z (netfinder.radio)
218,3.729000,3.729000,,Simplex,LSB,BC-PSN-80,OFF,,,,,,British Columbia Public Service Net - daily 0130Z (netfinder.radio)
219,3.925000,3.925000,,Simplex,LSB,PICONET,OFF,,,,,,PICONET - daily 1400Z and 2000Z (netfinder.radio)
220,3.975000,3.975000,,Simplex,LSB,GOLDBEAR-80,OFF,,,,,,Golden Bear Net - daily 0200Z (netfinder.radio)
221,3.961000,3.961000,,Simplex,LSB,POTATO-80,OFF,,,,,,Great Maine Potato Net (Winter) - daily ~2145Z (netfinder.radio)
222,3.925000,3.925000,,Simplex,LSB,GULFSSB-80,OFF,,,,,,Gulfcoast Sideband Net - daily ~2330Z, same freq as PICONET different time (netfinder.radio)
223,3.668000,3.668000,,Simplex,LSB,GERATOL-80,OFF,,,,,,GERATOL Worked All States Net - daily 2000Z Oct-Apr (netfinder.radio)
224,3.810000,3.810000,,Simplex,LSB,CO-SSB-80,OFF,,,,,,Colorado State HF SSB Net - Sun 1400Z (netfinder.radio)
225,3.953000,3.953000,,Simplex,LSB,KOC-80,OFF,,,,,,Knights of Columbus 80m Net - Mon 8PM ET (netfinder.radio)
226,3.825000,3.825000,,Simplex,LSB,OMISS-80,OFF,,,,,,OMISS 80m Net - daily 0300Z (netfinder.radio)
